id,group
app940,com38
user81140,com16
user90060,com10
cell57460,com5
cell20780,com29
user57240,com0
user65060,com10
cell4540,com40
cell62560,com36
user34600,com4
cell15940,com38
user18080,com27
user54640,com25
cell54300,com35
user40960,com34
cell64580,com26
user34320,com23
user53540,com40
user66180,com46
user22560,com36
cell29780,com29
user64520,com20
user5000,com28
cell61200,com48
cell39240,com0
user37120,com24
user27540,com40
user54940,com38
cell36260,com42
user48740,com1
user32460,com5
user25940,com38
cell1940,com38
user5560,com36
cell58400,com6
user4060,com10
user53620,com22
cell61060,com10
user16820,com13
user74260,com42
user70900,com9
cell8120,com24
cell60000,com28
user26240,com0
cell49900,com9
user92820,com13
user6120,com24
cell52100,com41
user16660,com39
user4900,com9
cell41720,com43
user74020,com33
cell54860,com12
user31440,com30
user56120,com24
cell22560,com36
user35020,com33
cell9900,com9
user13960,com34
user8380,com3
user21660,com39
user42120,com24
user33640,com25
app380,com3
user83800,com18
cell57400,com6
user7000,com28
cell56800,com18
cell45300,com35
user33400,com6
user23480,com2
cell20480,com2
user84140,com16
user65760,com31
user86240,com0
cell23280,com32
cell19620,com22
cell4260,com42
cell52920,com21
cell62500,com15
user17160,com45
user95920,com21
cell17460,com5
user42720,com43
user3220,com44
user29620,com22
user2960,com34
cell39980,com49
cell12040,com37
cell59240,com0
user52940,com38
user67140,com16
cell16280,com32
user14660,com39
user20480,com2
cell29080,com27
cell4300,com35
user67900,com9
cell59660,com39
user26720,com43
user66480,com2
user31140,com16
user24980,com49
user10020,com33
user90020,com33
user28340,com19
user59500,com15
cell57300,com35
cell13360,com8
user38840,com17
cell33700,com14
user31880,com7
user52100,com41
user83280,com32
app140,com16
user76120,com24
user98360,com8
user91700,com14
cell61680,com11
user11120,com24
user43980,com49
cell49400,com6
user93940,com38
user56880,com7
user38780,com29
user93240,com0
user33560,com36
cell36120,com24
user76820,com13
user93220,com44
user17260,com42
cell26700,com14
cell13660,com39
cell28380,com3
cell22140,com16
user73980,com49
user27980,com49
user50360,com8
cell15500,com15
user93280,com32
user3300,com35
user38760,com31
user76000,com28
user29820,com13
user92760,com31
user24920,com21
user96180,com46
user88240,com0
user12860,com12
user63000,com28
cell19160,com45
user57880,com7
cell32920,com21
cell5440,com30
cell43460,com5
user27000,com28
user4220,com44
user51400,com6
cell1020,com33
cell66740,com1
cell31700,com14
cell50360,com8
user84800,com18
cell43400,com6
user51820,com13
user91480,com2
app400,com6
cell25040,com37
user11000,com28
cell3900,com9
cell20880,com7
user86720,com43
user87160,com45
user5760,com31
cell35320,com23
cell1160,com45
user69220,com44
cell26380,com3
cell14940,com38
user71780,com29
user90400,com6
user73340,com19
cell43160,com45
user24640,com25
user13580,com26
app120,com24
user100,com41
user72520,com20
user76840,com17
cell52520,com20
user67300,com35
user60680,com11
cell56560,com36
user82020,com33
cell53060,com10
user17920,com21
user17860,com12
user26620,com22
cell44360,com8
user8780,com29
cell33440,com30
cell44740,com1
cell1600,com4
user8940,com38
cell8140,com16
user28380,com3
cell7520,com20
cell10280,com32
cell34380,com3
user82960,com34
user1900,com9
cell30760,com31
cell5260,com42
cell4080,com27
cell15640,com25
user19860,com12
user22860,com12
cell10140,com16
cell38900,com9
cell32460,com5
user90500,com15
user49460,com5
cell48440,com30
user13340,com19
user92200,com48
cell65540,com40
user89380,com3
user560,com36
user91220,com44
cell36000,com28
user26940,com38
user49440,com30
cell33940,com38
user66680,com11
user46340,com19
user1080,com27
cell43340,com19
cell36660,com39
user74840,com17
user30860,com12
user10080,com27
cell56640,com25
cell66220,com44
user26480,com2
user39720,com43
user18900,com9
cell27720,com43
user94880,com7
cell4140,com16
cell10580,com26
user39300,com35
user64340,com19
cell6980,com49
user72980,com49
cell56060,com10
user56660,com39
user64380,com3
cell49340,com19
user5780,com29
user280,com32
user740,com1
user95100,com41
user30440,com30
user26700,com14
cell14340,com19
user35220,com44
user44440,com30
user20340,com19
user5620,com22
user68440,com30
user49100,com41
user5040,com37
cell30680,com11
cell22120,com24
user72220,com44
cell56460,com5
user60840,com17
user50340,com19
user89500,com15
user9720,com43
cell17980,com49
user43500,com15
cell48700,com14
user34360,com8
cell26960,com34
user48700,com14
user14900,com9
user26440,com30
user85700,com14
cell6720,com43
cell11780,com29
user50740,com1
user22480,com2
cell28180,com46
user76640,com25
cell12780,com29
user51900,com9
cell50340,com19
user83240,com0
user13380,com3
cell9940,com38
cell63040,com37
user36480,com2
user87140,com16
user860,com12
user66080,com27
user50480,com2
user7840,com17
user74800,com18
app300,com35
cell51760,com31
cell12760,com31
cell24240,com0
user58800,com18
user98400,com6
user58580,com26
cell53500,com15
user51140,com16
user92160,com45
cell1320,com23
user72140,com16
user3680,com11
cell36780,com29
user77420,com47
user5460,com5
cell4800,com18
cell13400,com6
user63840,com17
cell48960,com34
cell26440,com30
user78700,com14
cell65000,com28
user62960,com34
user6520,com20
user20620,com22
user11420,com47
user62640,com25
