id,group
user24200,com2
user63200,com2
user7200,com2
cell68200,com2
cell47200,com2
cell50200,com2
user14200,com2
cell22200,com2
cell51200,com2
user23200,com2
cell16200,com2
cell53200,com2
user20200,com2
cell6200,com2
user49200,com2
user200,com2
user29200,com2
user36200,com2
user76200,com2
user62200,com2
cell56200,com2
cell31200,com2
cell39200,com2
user70200,com2
cell20200,com2
cell32200,com2
user39200,com2
user47200,com2
user44200,com2
user78200,com2
user21200,com2
cell10200,com2
cell38200,com2
user28200,com2
cell30200,com2
user71200,com2
cell34200,com2
user25200,com2
cell57200,com2
cell26200,com2
cell62200,com2
cell40200,com2
cell64200,com2
user11200,com2
user67200,com2
user31200,com2
cell37200,com2
cell60200,com2
cell41200,com2
user37200,com2
user88200,com2
user98200,com2
user93200,com2
package260,com2
cell11200,com2
user74200,com2
user5200,com2
user27200,com2
cell59200,com2
user58200,com2
user92200,com2
cell18200,com2
cell5200,com2
user26200,com2
cell43200,com2
cell24200,com2
cell4200,com2
user19200,com2
user55200,com2
user56200,com2
user75200,com2
cell65200,com2
cell19200,com2
user96200,com2
cell52200,com2
cell45200,com2
cell8200,com2
user53200,com2
user30200,com2
cell25200,com2
user87220,com3
cell15220,com3
user33220,com3
cell66220,com3
user83220,com3
user46220,com3
user86220,com3
cell49220,com3
user14220,com3
cell28220,com3
user8220,com3
cell36220,com3
user53220,com3
user74220,com3
user92220,com3
user93220,com3
user82220,com3
user99220,com3
cell54220,com3
cell40220,com3
user47220,com3
cell6220,com3
user63220,com3
user38220,com3
user6220,com3
cell68220,com3
cell5220,com3
user79220,com3
cell39220,com3
cell61220,com3
cell57220,com3
user35220,com3
user67220,com3
cell12220,com3
user42220,com3
cell2220,com3
cell1220,com3
user30220,com3
user72220,com3
user29220,com3
user60220,com3
user18220,com3
user98220,com3
cell23220,com3
user24220,com3
cell47220,com3
cell67220,com3
user43220,com3
cell21220,com3
cell52220,com3
cell44220,com3
user76220,com3
cell220,com3
user28220,com3
user49220,com3
cell38220,com3
cell13220,com3
user4220,com3
user26220,com3
user56220,com3
user31220,com3
user55220,com3
user45220,com3
cell8220,com3
cell29220,com3
cell24220,com3
user59220,com3
user61220,com3
user39220,com3
cell60220,com3
user41220,com3
user80220,com3
cell30220,com3
user21220,com3
cell63220,com3
user16220,com3
user52220,com3
cell64220,com3
cell62220,com3
cell25220,com3
user36220,com3
user84220,com3
cell11220,com3
cell10220,com3
cell45220,com3
user48220,com3
user65220,com3
user71220,com3
cell50220,com3
cell27220,com3
cell26220,com3
cell14220,com3
user27220,com3
cell59220,com3
user69220,com3
user50220,com3
cell48220,com3
user78220,com3
user68220,com3
cell3220,com3
user5220,com3
user89220,com3
cell33220,com3
user23220,com3
user13220,com3
user17220,com3
user32220,com3
user10220,com3
user54220,com3
user96220,com3
user66220,com3
user2220,com3
user15220,com3
user3220,com3
cell31220,com3
cell53220,com3
cell34220,com3
user37220,com3
cell58220,com3
cell35220,com3
user88220,com3
cell18220,com3
user11220,com3
cell16220,com3
user77220,com3
user81220,com3
user75220,com3
cell51220,com3
user90220,com3
cell7220,com3
cell56220,com3
package280,com3
user57220,com3
user7220,com3
cell43220,com3
cell19220,com3
user1220,com3
cell65220,com3
user51220,com3
user62220,com3
user58220,com3
user9220,com3
user94220,com3
cell22220,com3
user25220,com3
user20220,com3
user70220,com3
user97220,com3
user22220,com3
user91220,com3
user73220,com3
user19220,com3
cell46220,com3
user40220,com3
cell55220,com3
app220,com3
cell41220,com3
user64220,com3
user34220,com3
cell42220,com3
cell37220,com3
cell9220,com3
user12220,com3
cell4220,com3
user95220,com3
user44220,com3
cell17220,com3
user85220,com3
cell20220,com3
cell32220,com3
user220,com3
cell47000,com4
user54000,com4
user80000,com4
cell48000,com4
cell18000,com4
user8000,com4
user14000,com4
cell24000,com4
user18000,com4
cell23000,com4
user2000,com4
cell11000,com4
cell63000,com4
user71000,com4
user67000,com4
cell28000,com4
cell0,com4
user98000,com4
user66000,com4
user41000,com4
cell61000,com4
cell17000,com4
user25000,com4
user20000,com4
user76000,com4
user37000,com4
user87000,com4
